Using: /mnt/apps/public/COE/synopsys_apps/hspice/S-2021.09/hspice/linux64/hspice  -i '/afs/unity.ncsu.edu/users/z/zwmurray/ece546/proj_working/simulation/mylib,tb2022,schematic/history_1/simulation/HSPICE_default/HSPICE/nominal/netlist/input.spi' -o hspice

0.00% Tran Time= 1.00000e-13s Estimated Time Left:851:12:20       
1.03% Tran Time= 2.56780e-10s Estimated Time Left: 0:21:17        
2.13% Tran Time= 5.33397e-10s Estimated Time Left: 0:10:54        
3.36% Tran Time= 8.40938e-10s Estimated Time Left: 0:07:18        
4.23% Tran Time= 1.05742e-09s Estimated Time Left: 0:06:08        
6.04% Tran Time= 1.50892e-09s Estimated Time Left: 0:04:29        
7.11% Tran Time= 1.77836e-09s Estimated Time Left: 0:03:59        
8.14% Tran Time= 2.03380e-09s Estimated Time Left: 0:03:38        
9.36% Tran Time= 2.34059e-09s Estimated Time Left: 0:03:16        
10.24% Tran Time= 2.56054e-09s Estimated Time Left: 0:03:07        
12.03% Tran Time= 3.00651e-09s Estimated Time Left: 0:02:43        
13.02% Tran Time= 3.25575e-09s Estimated Time Left: 0:02:35        
14.10% Tran Time= 3.52468e-09s Estimated Time Left: 0:02:28        
15.27% Tran Time= 3.81823e-09s Estimated Time Left: 0:02:20        
16.48% Tran Time= 4.12015e-09s Estimated Time Left: 0:02:13        
18.06% Tran Time= 4.51458e-09s Estimated Time Left: 0:02:04        
19.16% Tran Time= 4.79018e-09s Estimated Time Left: 0:01:59        
20.17% Tran Time= 5.04171e-09s Estimated Time Left: 0:01:56        
22.04% Tran Time= 5.50972e-09s Estimated Time Left: 0:01:47        
23.12% Tran Time= 5.77884e-09s Estimated Time Left: 0:01:44        
24.11% Tran Time= 6.02817e-09s Estimated Time Left: 0:01:42        
25.44% Tran Time= 6.35937e-09s Estimated Time Left: 0:01:37        
26.35% Tran Time= 6.58856e-09s Estimated Time Left: 0:01:36        
28.09% Tran Time= 7.02289e-09s Estimated Time Left: 0:01:30        
29.32% Tran Time= 7.33094e-09s Estimated Time Left: 0:01:27        
30.17% Tran Time= 7.54237e-09s Estimated Time Left: 0:01:26        
32.08% Tran Time= 8.01951e-09s Estimated Time Left: 0:01:21        
33.23% Tran Time= 8.30656e-09s Estimated Time Left: 0:01:19        
34.29% Tran Time= 8.57250e-09s Estimated Time Left: 0:01:17        
36.10% Tran Time= 9.02434e-09s Estimated Time Left: 0:01:13        
37.23% Tran Time= 9.30696e-09s Estimated Time Left: 0:01:11        
39.03% Tran Time= 9.75698e-09s Estimated Time Left: 0:01:07        
40.17% Tran Time= 1.00423e-08s Estimated Time Left: 0:01:06        
42.07% Tran Time= 1.05163e-08s Estimated Time Left: 0:01:02        
43.17% Tran Time= 1.07937e-08s Estimated Time Left: 0:01:01        
44.27% Tran Time= 1.10672e-08s Estimated Time Left: 0:00:59        
46.16% Tran Time= 1.15409e-08s Estimated Time Left: 0:00:56        
48.05% Tran Time= 1.20128e-08s Estimated Time Left: 0:00:53        
50.04% Tran Time= 1.25100e-08s Estimated Time Left: 0:00:50        
51.19% Tran Time= 1.27984e-08s Estimated Time Left: 0:00:49        
52.25% Tran Time= 1.30628e-08s Estimated Time Left: 0:00:48        
54.12% Tran Time= 1.35311e-08s Estimated Time Left: 0:00:45        
56.02% Tran Time= 1.40046e-08s Estimated Time Left: 0:00:42        
57.04% Tran Time= 1.42601e-08s Estimated Time Left: 0:00:41        
58.17% Tran Time= 1.45434e-08s Estimated Time Left: 0:00:40        
60.19% Tran Time= 1.50479e-08s Estimated Time Left: 0:00:38        
63.05% Tran Time= 1.57632e-08s Estimated Time Left: 0:00:34        
65.19% Tran Time= 1.62964e-08s Estimated Time Left: 0:00:31        
68.02% Tran Time= 1.70051e-08s Estimated Time Left: 0:00:28        
70.16% Tran Time= 1.75401e-08s Estimated Time Left: 0:00:26        
73.03% Tran Time= 1.82570e-08s Estimated Time Left: 0:00:23        
75.17% Tran Time= 1.87926e-08s Estimated Time Left: 0:00:21        
78.00% Tran Time= 1.95012e-08s Estimated Time Left: 0:00:18        
80.12% Tran Time= 2.00304e-08s Estimated Time Left: 0:00:16        
82.27% Tran Time= 2.05664e-08s Estimated Time Left: 0:00:14        
85.08% Tran Time= 2.12695e-08s Estimated Time Left: 0:00:11        
87.20% Tran Time= 2.17997e-08s Estimated Time Left: 0:00:10        
90.02% Tran Time= 2.25054e-08s Estimated Time Left: 0:00:07        
92.15% Tran Time= 2.30370e-08s Estimated Time Left: 0:00:06        
95.00% Tran Time= 2.37500e-08s Estimated Time Left: 0:00:03        
97.14% Tran Time= 2.42852e-08s Estimated Time Left: 0:00:02        
99.34% Tran Time= 2.48358e-08s Estimated Time Left: 0:00:00        
>info:         ***** hspice job concluded
